first_name,last_name,position
Juan,Vargas,Representative
Marc,Veasey,Representative
Filemon,Vela,Representative
Nydia,Velazquez,Representative
Peter,Visclosky,Representative
David,Vitter,Senator
Ann,Wagner,Representative
Tim,Walberg,Representative
Greg,Walden,Representative
Mark,Walker,Representative
Jackie,Walorski,Representative
Joe,Walsh,Representative
John,Walsh,Senator
Mimi,Walters,Representative
Michael,Waltz,Representative
Timothy,Walz,Representative
Mark,Warner,Senator
Elizabeth,Warren,Senator
Debbie,Wasserman,Representative
Maxine,Waters,Representative
Steve,Watkins,Representative
Bonnie,Watson,Representative
Melvin,Watt,Representative
Henry,Waxman,Representative
Jim,Webb,Senator
Randy,Weber,Representative
Daniel,Webster,Representative
Anthony,Weiner,Representative
Peter,Welch,Representative
Brad,Wenstrup,Representative
Allen,West,Representative
Bruce,Westerman,Representative
Lynn,Westmoreland,Representative
Jennifer,Wexton,Representative
Sheldon,Whitehouse,Senator
Ed,Whitfield,Representative
Roger,Wicker,Senator
Susan,Wild,Representative
Roger,Williams,Representative
Frederica,Wilson,Representative
Joe,Wilson,Representative
Robert,Wittman,Representative
Frank,Wolf,Representative
Steve,Womack,Representative
Rob,Woodall,Representative
Lynn,Woolsey,Representative
Ron,Wright,Representative
David,Wu,Representative
Ron,Wyden,Senator
John,Yarmuth,Representative
Kevin,Yoder,Representative
Ted,Yoho,Representative
C.,Young,Representative
David,Young,Representative
Don,Young,Representative
Todd,Young,Senator
Lee,Zeldin,Representative
Ryan,Zinke,Representative
Neil,Abercrombie,Representative
Spencer,Abraham,Senator
Anibal,Acevedo-Vila,Representative
John,Adler,Representative
Wayne,Allard,Senator
George,Allen,Senator
Thomas,Allen,Representative
Bill,Archer,Representative
Michael,Arcuri,Representative
Richard,Armey,Representative
John,Ashcroft,Senator
Scotty,Baesler,Representative
Brian,Baird,Representative
Richard,Baker,Representative
John,Baldacci,Representative
Frank,Ballance,Representative
Cass,Ballenger,Representative
James,Barcia,Representative
Dean,Barkley,Senator
Bob,Barr,Representative
Bill,Barrett,Representative
J.,Barrett,Representative
Thomas,Barrett,Representative
Herbert,Bateman,Representative
Evan,Bayh,Senator
Melissa,Bean,Representative
Bob,Beauprez,Representative
Chris,Bell,Representative
Robert,Bennett,Senator
Ken,Bentsen,Representative
Doug,Bereuter,Representative
Marion,Berry,Representative
Joseph,Biden,Senator
Michael,Bilirakis,Representative
Rod,Blagojevich,Representative
Tom,Bliley,Representative
John,Boccieri,Representative
Sherwood,Boehlert,Representative
Christopher,Bond,Senator
Henry,Bonilla,Representative
David,Bonior,Representative
Sonny,Bono,Representative
Robert,Borski,Representative
Rick,Boucher,Representative
Allen,Boyd,Representative
Nancy,Boyda,Representative
Jeb,Bradley,Representative
John,Breaux,Senator
Bobby,Bright,Representative
George,Brown,Representative
Henry,Brown,Representative
Ginny,Brown-Waite,Representative
Sam,Brownback,Senator
Richard,Bryan,Senator
Ed,Bryant,Representative
Dale,Bumpers,Senator
Jim,Bunning,Senator
Conrad,Burns,Senator
Max,Burns,Representative
Roland,Burris,Senator
Steve,Buyer,Representative
Robert,Byrd,Senator
Sonny,Callahan,Representative
Ben,Campbell,Senator
Tom,Campbell,Representative
Charles,Canady,Representative
Chris,Cannon,Representative
Anh,Cao,Representative
Walter,Capps,Representative
Jean,Carnahan,Senator
Christopher,Carney,Representative
Brad,Carson,Representative
Julia,Carson,Representative
Michael,Castle,Representative
Donald,Cazayoux,Representative
John,Chafee,Senator
Lincoln,Chafee,Senator
Helen,Chenoweth-Hage,Representative
Travis,Childers,Representative
Chris,Chocola,Representative
Jon,Christensen,Representative
William,Clay,Representative
Eva,Clayton,Representative
Max,Cleland,Senator
Bob,Clement,Representative
Hillary,Clinton,Senator
Norm,Coleman,Senator
Mac,Collins,Representative
Larry,Combest,Representative
Gary,Condit,Representative
Merrill,Cook,Representative
John,Cooksey,Representative
Jon,Corzine,Senator
Paul,Coverdell,Senator
Christopher,Cox,Representative
William,Coyne,Representative
Larry,Craig,Senator
Robert,Cramer,Representative
Philip,Crane,Representative
Barbara,Cubin,Representative
Randy,Cunningham,Representative
Alfonse,D'Amato,Senator
Kathleen,Dahlkemper,Representative
Pat,Danner,Representative
Thomas,Daschle,Senator
Artur,Davis,Representative
David,Davis,Representative
Jim,Davis,Representative
Jo,Davis,Representative
Lincoln,Davis,Representative
Tom,Davis,Representative
Mark,Dayton,Senator
Nathan,Deal,Representative
